review_text,rating,date
"Absolutely delicious food! The pasta was perfectly cooked and service was excellent.",5,2024-01-01
"Food arrived cold and 45 minutes late. Completely unacceptable.",1,2024-01-02
"Decent meal but portion sizes are too small for the price.",3,2024-01-03
"Best burger I have ever tasted. Will definitely order again!",5,2024-01-04
"Wrong order delivered. Customer service was unhelpful and rude.",1,2024-01-05
"Pizza was soggy and tasteless. Very disappointed with quality.",2,2024-01-06
"Amazing flavors and generous portions. Great value for money!",5,2024-01-07
"Delivery took over an hour. Food was barely warm when arrived.",2,2024-01-08
"Fresh ingredients and authentic taste. Reminded me of home cooking.",5,2024-01-09
"Packaging was damaged and food spilled everywhere. Terrible experience.",1,2024-01-10
"Wonderful dining experience. Chef clearly puts love into every dish.",5,2024-01-11
"Menu description was misleading. Not what I expected at all.",2,2024-01-12
"The sushi was incredibly fresh. Best Japanese food in the city.",5,2024-01-13
"Overpriced for mediocre food. Would not recommend to anyone.",2,2024-01-14
"Delivery driver was friendly and food arrived perfectly on time.",5,2024-01-15
"Found a hair in my food. Hygiene standards are clearly lacking.",1,2024-01-16
"Fantastic curry with rich authentic spices. Outstanding quality.",5,2024-01-17
"App crashed during checkout. Lost my order and was charged anyway.",1,2024-01-18
"Good food but restaurant needs to improve their packaging seriously.",3,2024-01-19
"Exceptional steak cooked exactly to my specification. Brilliant!",5,2024-01-20
"Delivery estimate was 30 minutes but took 2 hours. Ridiculous.",1,2024-01-21
"Salad was fresh and dressing was homemade. Healthy and delicious.",5,2024-01-22
"Restaurant cancelled my order without any notification. Outrageous.",1,2024-01-23
"Portions are generous and taste is consistently excellent every time.",5,2024-01-24
"Food quality has declined significantly since my last order.",2,2024-01-25
"Vegan options are creative and genuinely tasty. Impressed!",5,2024-01-26
"Charged for items not included in delivery. Refund still pending.",1,2024-01-27
"Comfort food done perfectly. Exactly what I needed on a rainy day.",5,2024-01-28
"Food was overly salty and seasoning was completely off balance.",2,2024-01-29
"Quick delivery and food was still hot. Very happy with service.",5,2024-01-30
"Dessert was absolutely divine. Chocolate lava cake was incredible.",5,2024-02-01
"Service was slow and staff seemed indifferent to customers.",2,2024-02-02
"Fresh bread and homemade soup. Tastes like a proper home meal.",5,2024-02-03
"Food presentation is beautiful but taste does not match appearance.",3,2024-02-04
"Reliable delivery and consistently good food quality every order.",4,2024-02-05
"Spice level was wrong despite specific instructions in notes.",2,2024-02-06
"Best Thai food outside of Thailand. Authentically prepared dishes.",5,2024-02-07
"Cold fries and lukewarm burger. Basic quality control is missing.",1,2024-02-08
"Reasonable prices and tasty food. Good neighborhood restaurant.",4,2024-02-09
"Gluten free options clearly labeled. Great for dietary restrictions.",4,2024-02-10
"Portions shrunk but price went up. Feels like a ripoff now.",2,2024-02-11
"Delivery packaging keeps food hot perfectly. Thoughtful design.",5,2024-02-12
"Waited 90 minutes for a simple sandwich. Completely unacceptable.",1,2024-02-13
"Fresh ingredients make such a difference. You can taste the quality.",5,2024-02-14
