review_text,rating,review_date
"This product is amazing! Best purchase ever. Great performance and battery life.",5,2023-01-15
"Terrible quality, broke after one day. Very disappointed with this purchase.",1,2023-01-16
"It's okay, nothing special but works as expected. Average value.",3,2023-01-17
"Great value for money, highly recommend to friends and family.",4,2023-01-18
"Software keeps crashing, very frustrating experience. Needs fix.",2,2023-01-19
"Excellent performance and battery life. Exceeded my expectations!",5,2023-01-20
"Design looks cheap, disappointed with build quality. Not worth price.",2,2023-01-21
"Average product, meets basic needs. Nothing extraordinary.",3,2023-01-22
"Outstanding camera quality! Photos look professional.",5,2023-01-23
"Screen is too dim, hard to see outdoors. Poor visibility.",2,2023-01-24
"Fast delivery, good packaging. Product works well so far.",4,2023-01-25
"Overpriced for what you get. Better alternatives available.",2,2023-01-26
"Love the features and ease of use. Perfect for beginners!",5,2023-01-27
"Mediocre experience. Some good points but many flaws.",3,2023-01-28
"Best in class performance. Will buy again!",5,2023-01-29
